pmcid,title,doi,license,journal,n_sections,n_chars
PMC13367202,3D Imaging and Measurement of Optic Nerve Sheath Diameter,10.1167/tvst.15.7.11,CC BY 4.0,Translational Vision Science & Technology,10,20255
PMC13355701,Deep Learning–Derived Retinal Age Detects Cognitive Impairment,10.1016/j.xops.2026.101274,CC BY 4.0,Ophthalmology Science,12,22588
PMC13355179,A Human Pharmacogenomics Approach Provides Insight Into the Pathogenesis and Pathophysiology of Steroid-Induced Ocular Hypertension,10.1016/j.xops.2026.101239,CC BY 4.0,Ophthalmology Science,33,62900
PMC13355465,Development and Clinical Validation of a Digital Eye-Tracking–Based Cover Test for Ocular Misalignment,10.1016/j.xops.2026.101261,CC BY 4.0,Ophthalmology Science,22,33359
PMC13355755,Early Prediction of Diabetic Macular Edema via Machine Learning Survival Analysis on Checkup Data,10.1016/j.xops.2026.101262,CC BY 4.0,Ophthalmology Science,25,25811
PMC13355389,Balance Performance in People With Peripheral Visual Field Loss: A Systematic Review and Meta-Analysis,10.1167/tvst.15.7.10,CC BY 4.0,Translational Vision Science & Technology,23,34601
PMC13355388,In Vivo Confocal Microscopy Revealed Alteration of Limbal Stem Cells and Sub-Basal Nerve Plexus in Allergic and Dry Eye-Related Ocular Surface Diseases,10.1167/tvst.15.7.7,CC BY 4.0,Translational Vision Science & Technology,16,35256
PMC13355386,Comparison of Measurement Techniques for Photoreceptor Loss in Geographic Atrophy,10.1167/tvst.15.7.8,CC BY 4.0,Translational Vision Science & Technology,11,17640
PMC13355387,Whole-Exome Analysis Identifies Candidate Genes Associated With Diabetic Retinopathy,10.1167/iovs.67.8.25,CC BY 4.0,Investigative Ophthalmology & Visual Science,23,35931
PMC13352754,"Ocular disorders among persons living with HIV/AIDS in Osun State, Nigeria: a cross-sectional study",10.1186/s12886-026-04689-w,CC BY 4.0,BMC Ophthalmology,14,21422
PMC13353658,Repeatability of keratometry depending on tear film osmolarity,10.1111/aos.70117,CC BY 4.0,Acta Ophthalmologica,15,21555
PMC13353614,Identification and functional validation of a novel disease‐causing variant in the noncoding region of NYX,10.1111/aos.70094,CC BY 4.0,Acta Ophthalmologica,8,27297
PMC13353693,Multi‐site performance of the telemedicine retinopathy of prematurity severity score (tROP‐SS),10.1111/aos.70101,CC BY 4.0,Acta Ophthalmologica,9,17279
PMC13353556,Long‐term follow‐up of chronic central serous chorioretinopathy patients receiving oral eplerenone and half‐dose photodynamic therapy in the SPECTRA trial: SPECTRA trial report No. 4,10.1111/aos.70106,CC BY 4.0,Acta Ophthalmologica,9,33358
PMC13353707,Astigmatic changes after Descemet membrane endothelial keratoplasty (DMEK) in decompensated penetrating keratoplasty grafts,10.1111/aos.70081,CC BY 4.0,Acta Ophthalmologica,13,31624
PMC13353580,Infection control in the brain and the eye,10.1111/aos.70071,CC BY 4.0,Acta Ophthalmologica,14,41068
PMC13353716,"Randomized, single‐centre, double‐blinded repeated dose investigation of safety and tolerability of ocular administrations of a novel silica eye drop product in healthy volunteers",10.1111/aos.70061,CC BY 4.0,Acta Ophthalmologica,10,28336
PMC13353712,Validity assessment for technical skills and stress management of the HelpMeSee ® Manual Small Incision Cataract Surgery module,10.1111/aos.70083,CC BY 4.0,Acta Ophthalmologica,20,37615
PMC13353630,Impact of mono‐ or multitherapy on ocular surface health and quality of life after 5 years of follow‐up in the Glaucoma Intensive Treatment Study (GITS),10.1111/aos.70078,CC BY 4.0,Acta Ophthalmologica,10,26444
PMC13353732,Mesopic microperimetry in Stargardt disease: Application and reliability,10.1111/aos.70072,CC BY 4.0,Acta Ophthalmologica,21,28728
PMC13353735,Outcomes and complications of sponges versus tires for scleral buckling in primary rhegmatogenous retinal detachment: The Manchester Buckle Study,10.1111/aos.70082,CC BY 4.0,Acta Ophthalmologica,11,24250
PMC13353656,Direct and indirect costs associated with declining distance visual acuity: A nationwide longitudinal cost‐of‐illness study with 11‐year follow‐up,10.1111/aos.70060,CC BY 4.0,Acta Ophthalmologica,14,43376
PMC13353749,Occupational exposure to metal welding and cataract: A systematic review and meta‐analysis,10.1111/aos.70066,CC BY 4.0,Acta Ophthalmologica,20,28454
PMC13353611,The Swedish National Pediatric Cataract Register (PECARE): Coexisting systemic disorders 2007–2023,10.1111/aos.70054,CC BY 4.0,Acta Ophthalmologica,11,19135
PMC13353762,Corneal power modelling with OCT data – Thin and thick lens paraxial models versus raytracing,10.1111/aos.70052,CC BY 4.0,Acta Ophthalmologica,10,29986
PMC13348854,Association between social vulnerability index and cataract surgery care in medicare beneficiaries: a retrospective cohort study,10.1186/s12886-026-05110-2,CC BY 4.0,BMC Ophthalmology,13,23379
PMC13349022,Optical Quality and Centration Stability of a Novel Capsule Reconstructor for Intraocular Lens Fixation: Laboratory Evaluation of the fixOflex Device,10.1167/tvst.15.7.5,CC BY 4.0,Translational Vision Science & Technology,13,22720
PMC13343151,A Disorder-Aware Computational Framework to Identify Structurally Tractable Targets in Proliferative Vitreoretinopathy,10.1016/j.xops.2026.101249,CC BY 4.0,Ophthalmology Science,15,46402
PMC13343140,Image-Quality–Aware Multimodal Artificial Intelligence for Automated Structured OCT Report Generation in Glaucoma Evaluation,10.1016/j.xops.2026.101254,CC BY 4.0,Ophthalmology Science,8,30492
PMC13343621,Comparative outcomes of cryoextraction and conventional extraction in anterior and lateral orbitotomy for orbital cavernous venous malformations (so-called cavernous hemangioma),10.1186/s12886-026-05111-1,CC BY 4.0,BMC Ophthalmology,11,18738
PMC13342646,Pharmacological principles of intravitreal drug therapy and their implications for clinical practice: a primer for the ophthalmologist,10.1038/s41433-026-04540-y,CC BY 4.0,Eye,21,34514
PMC13342617,Patient experience of and barriers to the eye examination,10.1038/s41433-026-04499-w,CC BY 4.0,Eye,17,23350
PMC13342571,Through their eyes’: A qualitative study on the impact of virtual reality on parents’ understanding of visual impairment,10.1038/s41433-026-04500-6,CC BY 4.0,Eye,22,33681
PMC13342523,Evaluation of an allied health professionals-led keratoconus service in a tertiary UK centre,10.1038/s41433-026-04482-5,CC BY 4.0,Eye,16,24533
PMC13342461,Ophthalmic dispensing patterns in New Zealand: a ten-year review,10.1038/s41433-026-04463-8,CC BY 4.0,Eye,12,26913
PMC13341769,Risk of cerebrovascular and cardiovascular outcomes in patients with an ICD code for ocular migraine,10.1038/s41433-026-04479-0,CC BY 4.0,Eye,8,17382
PMC13342569,Low-concentration atropine for management of myopia progression: does iris colour matter?,10.1038/s41433-026-04478-1,CC BY 4.0,Eye,21,25619
PMC13341770,Regional variation and trends in prostaglandin analogue prescribing for glaucoma in England 2019–2024,10.1038/s41433-026-04468-3,CC BY 4.0,Eye,12,27608
PMC13342618,Comparison of adverse renal events between ranibizumab and aflibercept in patients with diabetic macular oedema: A global network study,10.1038/s41433-026-04459-4,CC BY 4.0,Eye,17,29087
PMC13341748,"Ocular injuries in padel: findings from a survey on frequency, risk factors, and perceptions toward protective eyewear",10.1038/s41433-026-04447-8,CC BY 4.0,Eye,16,33624
PMC13342142,Autologous platelet-rich plasma versus autologous serum in treatment of dry eye disease,10.1007/s00417-026-07170-y,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,9,18599
PMC13341722,Multimodal imaging of photoreceptor and vascular changes in lamellar macular hole and epiretinal membrane-associated foveoschisis,10.1007/s00417-026-07215-2,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,12,22911
PMC13341886,"Referral for glaucoma surgery and types of surgery in different European regions in 2025, the EURACCUR study",10.1007/s00417-026-07155-x,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,12,34754
PMC13342141,Impact of glaucoma on outcomes after epiretinal membrane surgery. a pairwise and post-hoc single-arm meta-analysis,10.1007/s00417-026-07188-2,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,15,31184
